title,author,rating,format,year
Gone with the Wind,Margaret Mitchell,4.54,Paperback,1999
Six of Crows (Six of Crows #1),Leigh Bardugo,4.53,Hardcover,2015
The Wrinkle in Time Quintet Boxed Set (A Wrinkle in Time A Wind in the Door A Swiftly Tilting Planet Many Waters An Acceptable Time),Madeleine L'Engle,4.53,Paperback,2017
The Husband's Secret,Liane Moriarty,4.11,Hardcover,2013
The China Study: Revised and Expanded Edition: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet Weight Loss and Long-Term Health,T. Colin Campbell,4.46,Paperback,2006
It Ends with Us: A Novel,Colleen Hoover,4.61,Kindle Edition,2016
The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Case for ... Series),Lee Strobel,4.41,Paperback,1998
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.61,Hardcover,2014
Little House in the Big Woods (Little House #1),Laura Ingalls Wilder,4.44,Paperback,2007
The Elements of Style Fourth Edition,William Strunk Jr.,4.35,Hardcover,1999
Tolkien on Fairy-stories,J.R.R. Tolkien,4.42,Hardcover,2008
Fahrenheit 451,Ray Bradbury,4.19,Mass Market Paperback,2004
The Complete Calvin and Hobbes,Bill Watterson,4.6,Paperback,2005
Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,4.18,Hardcover,2002
The Picture of Dorian Gray (Dover Thrift Editions),Oscar Wilde,4.18,Paperback,1998
Thirteen Reasons Why,Jay Asher,4.2,Hardcover,2016
Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,4.62,Paperback,2002
It,Stephen King,4.36,Paperback,1987
Hatchet,Gary Paulsen,4.2,Hardcover,2000
The Adventures of Huckleberry Finn (Bantam Classic),Mark Twain,4.11,Paperback,2002
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,4.36,Paperback,1997
Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,4.58,Paperback,2004
Little House on the Prairie (Little House #2),Laura Ingalls Wilder,4.44,Paperback,2008
Les Misrables,Victor Hugo,4.22,Mass Market Paperback,1987
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Miguel Ruiz,4.37,Hardcover,2001
Pride and Prejudice,Jane Austen,4.38,Paperback,2000
Brave New World / Brave New World Revisited,Aldous Huxley,4.18,Paperback,2005
The Lion the Witch and the Wardrobe (The Chronicles of Narnia),C.S. Lewis,4.39,Hardcover,2005
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.32,Hardcover,2010
The Remains of the Day (Vintage International),Kazuo Ishiguro,4.21,Paperback,2005
Pippi Longstocking,Astrid Lindgren,4.11,Mass Market Paperback,2005
The Alchemist,Paulo Coelho,4.21,Paperback,1993
Crime and Punishment,Fyodor Dostoyevsky,4.2,Paperback,2002
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,4.21,Paperback,2007
Wonder,R.J. Palacio,4.68,Hardcover,2012
Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.62,Paperback,2006
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.34,Hardcover,2006
The Secret Garden (HarperClassics),Frances Hodgson Burnett,4.36,Hardcover,1998
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,4.45,Hardcover,1992
The Hunger Games Trilogy Boxset (The Hunger Games #1-3),Suzanne Collins,4.54,Hardcover,2010
Memoirs of a Geisha: A Novel,Arthur Golden,4.34,Mass Market Paperback,2005
The Lion the Witch and the Wardrobe (The Chronicles of Narnia),C.S. Lewis,4.45,Paperback,2002
The Devil in the White City: Murder Magic and Madness at the Fair That Changed America,Erik Larson,4.14,Audio Cassette,2003
Dr. Seuss's Beginner Book Collection (Cat in the Hat One Fish Two Fish Green Eggs and Ham Hop on Pop Fox in Socks),Seuss,4.53,Hardcover,2009
The Cat in the Hat,Dr. Seuss,4.43,Hardcover,1985
