tableA_title, tableA_author, tableB_title, tableB_author
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides
A Swiftly Tilting Planet (A Wrinkle in Time Quintet #3),Madeleine L'Engle,Wrinkle in Time / Wind in the Door / Swiftly Tiltling Planet,Madeleine L'Engle
A Swiftly Tilting Planet (A Wrinkle in Time Quintet #3),Madeleine L'Engle,A Swiftly Tilting Planet (A Wrinkle in Time Quintet),Madeleine L'Engle
Influence: The Psychology of Persuasion,Robert B. Cialdini,Influence: The Psychology of Persuasion Revised Edition,Robert B. Cialdini
Green Eggs and Ham,Dr. Seuss,Green Eggs and Ham,Dr. Seuss
The Tale of Peter Rabbit,Beatrix Potter,The Tale of Peter Rabbit Story Board Book,Beatrix Potter
The Tale of Peter Rabbit,Beatrix Potter,Beatrix Potter the Complete Tales (Peter Rabbit),Beatrix Potter
Fifty Shades Freed (Fifty Shades #3),E.L. James,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown
Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,The Complete Calvin and Hobbes,Bill Watterson
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,The New Jim Crow:  Mass Incarceration in the Age of Colorblindness,Michelle Alexander and 
Between the World and Me,Ta-Nehisi Coates,Between the World and Me,Ta-Nehisi Coates
Into the Wild,Jon Krakauer,Into the Wild,Jon Krakauer
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,The Hitchhiker's Guide to the Galaxy,Douglas Adams
With Angel's Wings,Stephanie A. Collins,With Angel's Wings,Stephanie A. Collins and 
Their Eyes Were Watching God,Zora Neale Hurston,Their Eyes Were Watching God,Zora Neale Hurston
The Hate U Give,Angie Thomas,The Hate U Give,Angie Thomas
The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,The Hitchhiker's Guide to the Galaxy,Douglas Adams
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander
Of Mice and Men,John Steinbeck,Of Mice and Men,John Steinbeck
The Autobiography of Malcolm X,Malcolm X,The Autobiography of Malcolm X: As Told to Alex Haley,Malcolm X and 
The Complete Maus (Maus #1-2),Art Spiegelman,The Complete Maus,Art Spiegelman
A People's History of the United States,Howard Zinn,A People's History of the United States,Howard Zinn
The Story of My Life,Helen Keller,The Story of Our Lives: A Novel,Helen Warner
Life the Universe and Everything (Hitchhiker's Guide to the Galaxy #3),Douglas Adams,The Hitchhiker's Guide to the Galaxy,Douglas Adams
The Indian in the Cupboard (The Indian in the Cupboard #1),Lynne Reid Banks,The Indian in the Cupboard,Lynne Reid Banks
The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,The Complete Calvin and Hobbes,Bill Watterson
The Guardian,Nicholas Sparks,The Guardian,Nicholas Sparks
A Short History of Nearly Everything,Bill Bryson,A Short History of Nearly Everything,Bill Bryson
A Short History of Nearly Everything,Bill Bryson,The Crazy Life of a Kid from Brooklyn: My Crazy Life in history with celebrities with travel & with business.,Bill Morgenstein
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll
The Lightning Thief (Percy Jackson and the Olympians #1),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and 
Things Fall Apart (The African Trilogy #1),Chinua Achebe,Things Fall Apart,Chinua Achebe
A Storm of Swords: Blood and Gold (A Song of Ice and Fire #3: Part 2 of 2),George R.R. Martin,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann
Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Joel Fuhrman,Eat to Live Quick and Easy Cookbook: 131 Delicious Recipes for Fast and Sustained Weight Loss Reversing Disease and Lifelong Health,Dr. Joel Fuhrman
Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Joel Fuhrman,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss Revised Edition,Joel Fuhrman
The Hunger Games (The Hunger Games #1),Suzanne Collins,The Hunger Games,Suzanne Collins
The Narrow Road to the Deep North,Richard Flanagan,The Narrow Road to the Deep North,Richard Flanagan
A Brief History of Time,Stephen Hawking,A Brief History of Time,Stephen Hawking
A Brief History of Time,Stephen Hawking,The Illustrated Brief History of Time Updated and Expanded Edition,Stephen William Hawking
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter Book 3),J.K. Rowling and 
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,Harry Potter and the Prisoner of Azkaban,J.K. Rowling and 
Eye of the Needle,Ken Follett,La isla de las tormentas / Eye of the Needle (Best Seller) (Spanish Edition),Ken Follett
Horton Hears a Who!,Dr. Seuss,Horton Hears a Who!,Dr. Seuss
The 48 Laws of Power,Robert Greene,The 48 Laws of Power,Robert Greene
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey
Wuthering Heights,Emily Brontë,Wuthering Heights,Emily Bronte
How to Win Friends and Influence People,Dale Carnegie,How to Win Friends & Influence People,Dale Carnegie
Lean In: Women Work and the Will to Lead,Sheryl Sandberg,Lean In: Women Work and the Will to Lead,Sheryl Sandberg
Gone with the Wind,Margaret Mitchell,Gone with the Wind,Margaret Mitchell
