title, author, rating, format
Murder in Murloo (Dusty Kent Mysteries Book 1),Brigid George,4.3,Kindle Edition
The Making of Meredith (Meredith & Hodge Series),Marcia Turner,4.8,Kindle Edition
The Third Wife: A Novel,Lisa Jewell,3.8,Paperback
The Man Who Could Be King: A Novel,John Ripin Miller,4,Paperback
The Book Thief,Markus Zusak,4.6,Paperback
A Bitter Rain,James D. Shipman,4.4,Paperback
Butterfly Garden: Beautiful Butterflies and Flowers Patterns For Relaxation Fun and Stress Relief Vol. 10 (Adult Coloring Books - Art Therapy for The Mind) (Volume 11),Broderick S Johnson,4.3,Paperback
The Advocate's Daughter: A Thriller,Anthony Franze,4.3,Hardcover
The Punch Escrow,Tal M. Klein,4.1,Paperback
The Witches of Dark Root (Daughters of Dark Root Book 1),April Aasheim,4.3,Kindle Edition
The Evil Within,Darren Galsworthy,4.6,Paperback
