ID,title,author,rating,format
b146,Rising Above: How 11 Athletes Overcame Challenges in Their Youth to Become Stars,Gregory Zuckerman and ,4.6,Paperback
b147,Violet the Pilot,Steve Breen,4.7,Paperback
b148,Obsession: The bestselling psychological thriller of 2017,Amanda Robson,3.4,Paperback
b149,The Crusades: The Authoritative History of the War for the Holy Land,Thomas Asbridge,4.4,Paperback
b150,The Buried Book,D. M. Pulley,4.2,Paperback
b151,AlphaOops!: The Day Z Went First,Alethea Kontis and ,,Paperback
b152,Plain Jane: A mystery/thriller not for the faint of heart (The Harbinger Murder Mystery Series Book 1),Carolyn McCray,3.8,Kindle Edition
b153,First Case (Writers Retreat Southern Seashore Mystery Book 1),Kathi Daley,4.5,Kindle Edition
b154,Here's the Reason God Made Me (Best of Li’l Buddies),Mikal Keefer and ,5,Board book
b155,Learn To Draw Animals! (Easy Step-by-Step Drawing Guide) (Young Artist),Peter Pauper Press,4.8,Paperback
b156,A Swear Word Coloring Book for Adults: Sweary AF: F*ckity F*ck F*ck F*ck: An Irreverent & Hilarious Antistress Sweary Adult Colouring Gift Featuring ... Mindful Meditation & Art Color Therapy),Honey Badger Coloring,4.5,Paperback
b157,Hello World! Solar System,Jill McDonald,4.7,Board book
b158,American Heart Association Quick & Easy Cookbook 2nd Edition: More Than 200 Healthy Recipes You Can Make in Minutes,American Heart Association,4.3,Hardcover
b159,Quick & Easy Low-Carb Cookbook (Best of the Best Presents),George Stella and ,4.8,Perfect Paperback
b160,The Diagnosis is Murder (A Dr. Valorian Mystery Book 1),Steven Gossington,4.1,Kindle Edition
b161,From Afar,Frank Scozzari,4.7,Kindle Edition
b162,Pretty Girls Dancing,Kylie Brant,4.5,Hardcover
b163,Salt: A World History,Mark Kurlansky,4.2,Paperback
b164,Soup of the Day (Rev Edition): 365 Recipes for Every Day of the Year,Kate McMillan,4.6,Hardcover
b165,National Geographic Little Kids First Big Book of the World,Elizabeth Carney,4.7,Hardcover
b166,The Book Club,Mary Alice Monroe,4.3,Paperback
b167,Finger Prints: A Novel,Barbara Delinsky,4.2,Paperback
b168,Face Of Our Father,G. Egore Pitir,4.5,Kindle Edition
b169,Leap (Breakthrough Book 2),Michael C. Grumley,4.6,Kindle Edition
b170,Yoga: The Top 100 Best Yoga Poses: Relieve Stress Increase Flexibility and Gain Strength (Yoga Postures Poses Exercises Techniques and Guide For Healing Stretching Strengthening and Stress Relief),Susan Hollister,4.5,Paperback
b171,Tin Can Titans: The Heroic Men and Ships of World War II's Most Decorated Navy Destroyer Squadron,John Wukovits,4.5,Hardcover
b172,Queen Hereafter: A Novel of Margaret of Scotland,Susan Fraser King,4.3,Paperback
b173,The Finest Nines: The Best Nine-Hole Golf Courses in North America,Anthony Pioppi and ,5,Hardcover
b174,The Wonderful Things You Will Be,Emily Winfield Martin,4.8,Hardcover
b175,Goodnight Little Monster,Helen Ketteman and ,4.7,Hardcover
b176,COMBAT MEDIC: A soldiers story of the Iraq war and PTSD,Samuel Murray BONEY IV and ,4.9,Kindle Edition
b177,Pops's Rules: Seventeen Rules to Keep Your Tenants in Line and Your Head from Exploding,d. thompson,4.4,Kindle Edition
b178,100 Photographs: The Most Influential Images of All Time,The Editors of TIME,4.4,Hardcover
b179,The Girl in the Picture,Kerry Barrett,,Kindle Edition
b180,Weird But True 9,National Geographic Kids,,Paperback
b181,Forks Knives and Spoons: A Novel,Leah DeCesare,4.6,Paperback
b182,Vanity Fair 100 Years: From the Jazz Age to Our Age,Graydon Carter,4.8,Hardcover
b183,"Treated Like Family: How an Entrepreneur and His ""Employee Family"" Built Sargento a Billion-Dollar Cheese Company",Tom Faley,,Hardcover
b184,Too Long the Winter: A Western Frontier Adventure,Robert Peecher,4.8,Kindle Edition
b185,Say My Name: A Novel,Allegra Huston,,Hardcover
b186,The Alienist (TNT Tie-in Edition): A Novel,Caleb Carr,4.4,Paperback
b187,The One,John Marrs,4.4,Hardcover
b188,Adult Coloring Book: Island Dreams: Vacation Summer and Beach: Dream and Relax with Gorgeous Illustrations,Julia Rivers and ,4.2,Paperback
b189,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,Paperback
b190,The One and Only Ivan,Katherine Applegate and ,4.8,Paperback
b191,Moon Mourning (Samantha Moon Origins Book 2),J.R. Rain and ,4.4,Kindle Edition
b192,Wind Catcher (A Chosen Novel Book 1),Jeff Altabef and ,4.5,Kindle Edition
b193,Start Again: A Contemporary Romance Novel (Start Again Series #1),J. Saman,4.6,Kindle Edition
b194,EIGHT: Terror Has A New Species,WW Mortensen,,Kindle Edition
b195,Dead Girls Don't Lie,Jennifer Shaw Wolf,4.3,Paperback
b196,The Great Alone: A Novel,Kristin Hannah,4.6,Hardcover
b197,Coloring Books for Adults Relaxation: Adult Coloring Books: Flowers Animals and Garden Designs,Coloring Books for Adults Relaxation and ,4.4,Paperback
b198,Detached: A Thriller Novel,Wendy Weiss,4.7,Kindle Edition
b199,Into the Funhouse,Walter Harp,5,Kindle Edition
b200,The Rock the Road and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began,Kathie Lee Gifford and ,4.2,Hardcover
b201,The House by the River,Lena Manta and ,4.3,Paperback
b202,Lilac Girls: A Novel,Martha Hall Kelly,4.6,Paperback
b203,The Betrayal: The Top Ten Bestseller,Kate Furnivall,4.4,Paperback
b204,The Electric Pressure Cooker Cookbook: 200 Fast and Foolproof Recipes for Every Brand of Electric Pressure Cooker,Barbara Schieving,4.8,Paperback
b205,The Winter Sea,Susanna Kearsley,4.5,Paperback
b206,Glass Lands,John Ryan,4.8,Kindle Edition
b207,The Trials of Sarah Newby: Books 1-3,Tim Vicary,,Kindle Edition
b208,Everywhere I Go God Is With Me (Best of Li’l Buddies),Mikal Keefer and ,4.8,Board book
b209,Adult Coloring Book: Butterflies and Flowers : Stress Relieving Patterns (Volume 7),Cherina Kohey,4.5,Paperback
b210,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,Paperback
b211,Little Green Frog: Lift-a-Flap Board Book (Babies Love),Ginger Swift and ,4.8,Board book
b212,Ultimate Coloring Book Treasury: Relax Recharge and Refresh Yourself (Design Originals) 208 Pages of Beautiful One-Side-Only Designs on Extra-Thick Perforated Paper in a Spiral Lay-Flat Binding,Valentina Harper and ,4.5,Spiral-bound
b213,Men in Green,Michael Bamberger,4.3,Paperback
b214,Spell Hath No Fury: A Lexi Balefire Matchmaking Witch Mystery (Fate Weaver Book 5),ReGina Welling and ,4.7,Kindle Edition
b215,The Tell All (Locust Point Mystery Book 1),Libby Howard,4.5,Kindle Edition
b216,Strangers: The unforgettable crime thriller from the #1 bestseller,Paul Finch,4.1,Paperback
b217,A Great and Terrible King: Edward I and the Forging of Britain,Marc Morris,4.4,Paperback
b218,Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers Animals and Paisley Patterns,Coloring Books for Adults,4.5,Paperback
b219,Go! Go! Go! Stop!,Charise Mericle Harper,4.8,Board book
b220,The Running Man: A Novel,Stephen King,4.3,Mass Market Paperback
b221,The Best Friend: a chilling psychological thriller,Shalini Boland,4.3,Paperback
b222,Special Operations: Grant's Crusade,Eric Meyer,,Kindle Edition
b223,Give Work: Reversing Poverty One Job at a Time,Leila Janah,4.6,Hardcover
b224,Beth Webb: An Eye for Beauty: Rooms That Speak to the Senses,Beth Webb and ,4.8,Hardcover
b225,The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4,Paperback
b226,A Place to Call Home: Tradition Style and Memory in the New American House,Gil Schafer III and ,4.4,Hardcover
b227,A Man Called Ove: A Novel,Fredrik Backman,4.6,Paperback
b228,Lonely Planet's Best in Travel 2018,Lonely Planet,4.3,Paperback
b229,The New York Times Book of the Dead: 320 Print and 10000 Digital Obituaries of Extraordinary People,William McDonald,4.4,Hardcover
b230,Hidden Agenda: A Dan Roy Thriller (The Dan Roy Series Book 1),Mick Bose,,Kindle Edition
b231,Orchid Girl: An epic love story set in the world's darkest days,Rochelle Carlton,4.8,Kindle Edition
b232,This is Going to Hurt: Secret Diaries of a Junior Doctor - The Sunday Times Bestseller,Adam Kay,,Paperback
b233,All Day Long God Loves Me (Best of Li’l Buddies),Mikal Keefer and ,4.8,Board book
b234,Red Adam's Lady (Rediscovered Classics),Grace Ingram and ,4.9,Paperback
b235,The Simple Kitchen: Quick and Easy Recipes Bursting With Flavor,Donna Elick and ,4.6,Paperback
b236,The Bucket List: 1000 Adventures Big & Small,Kath Stathers,4.7,Hardcover
b237,Teacup Kittens Coloring Book (Design Originals) 32 Adorable Expressive-Eyed Cat Designs from Illustrator Kayomi Harai on High-Quality Extra-Thick Perforated Pages that Resist Bleed Through,Kayomi Harai,4.8,Paperback
b238,Colors,Jay Magidson,4.5,Kindle Edition
b239,Complete Children's Cookbook,DK,4.6,Hardcover
b240,The Legacy of Lucy Harte,Emma Heatherington,4.3,Paperback
b241,He Still Moves Stones (The Bestseller Collection),Max Lucado,4.8,Hardcover
b242,The Hiccupotamus,Aaron Zenz,4.5,Hardcover
b243,The Charm School,Nelson DeMille,4.6,Paperback
b244,Journeys of a Lifetime: 500 of the World's Greatest Trips,National Geographic,4.6,Hardcover
b245,For Better or Worse: A cozy mystery with a difference (The Ginger Barnes Main Line Mysteries Book 8),Donna Huston Murray,4.4,Kindle Edition
b246,My Trip to Adele,A.I. Alyaseer and ,4.1,Kindle Edition
b247,The Girls of Ennismore,Patricia Falvey,4.5,Paperback
b248,Oliver's Tree,Kit Chase,4.8,Board book
b249,Miracle Man,William R Leibowitz,4.2,Paperback
b250,Only Time Will Tell (The Clifton Chronicles),Jeffrey Archer,4.4,Mass Market Paperback
b251,No Better Friend: Young Readers Edition: A Man a Dog and Their Incredible True Story of Friendship and Survival in World War II,Robert Weintraub,4.8,Hardcover
b252,Side Effects May Vary,Julie Murphy,3.8,Paperback
b253,Coercion,Tim Tigner,4.3,Kindle Edition
b254,Murder in the E.R.: A Detective Capella Crime Novel (Detective Capella Mystery Thriller Series Book 1),Jackie Holiday,3.7,Kindle Edition
b255,Evening Class,Maeve Binchy,4.5,Mass Market Paperback
b256,The Indian in the Cupboard,Lynne Reid Banks,4.7,Paperback
b257,The Personal MBA: Master the Art of Business,Josh Kaufman,4.5,Paperback
b258,Devotion: An Epic Story of Heroism Friendship and Sacrifice,Adam Makos,4.8,Paperback
b259,Timekeeper,Tara Sim,4.3,Paperback
b260,Salad of the Day (Revised): 365 Recipes for Every Day of the Year,Georgeanne Brennan,4.5,Hardcover
b261,The Women in Pants: Sidesaddles No More,Stan Himes,,Kindle Edition
b262,Ghost Heart: A Medical Thriller,Lisa Harris and ,4.7,Kindle Edition
b263,Cocoon (The Cocoon Trilogy Book 1),David Saperstein,4.3,Kindle Edition
b264,Ridiculous! (Ridiculous Lovers Book 1),D. L. Carter,4.5,Kindle Edition
b265,Passenger 19 (A Jammer Davis Thriller),Ward Larsen,4.5,Paperback
b266,Winter Garden,Kristin Hannah,4.6,Paperback
b267,Educated: A Memoir,Tara Westover,4.7,Hardcover
b268,What Are Little Boys Made Of? (Little Bird Greetings),Minnie Birdsong and ,4.2,Board book
b269,London Large - Blood on the Streets: Detective Hawkins Crime Thriller Series Book 1 (London Large Hard-Boiled Crime Series),Roy Robson and ,4.6,Kindle Edition
b270,THE DCS FRANK KRUGER TRILOGY: THREE SUSPENSEFUL FINELY PACED CRIME MYSTERIES,David S Fisher,,Kindle Edition
b271,Arctic Homestead: The True Story of One Family's Survival  and Courage in the Alaskan Wilds,Norma Cobb and ,4.4,Paperback
b272,Nyxia (The Nyxia Triad),Scott Reintgen,4.5,Hardcover
b273,Smoke It Like a Pit Master with Your Electric Smoker: Recipes and Techniques for Easy and Delicious BBQ,Wendy O'Neal,4.3,Paperback
b274,The Best Mexican Recipes: Kitchen-Tested Recipes Put the Real Flavors of Mexico Within Reach,America's Test Kitchen,4.7,Paperback
b275,A Swear Word Coloring Book Midnight Edition: Sweary Mandalas: An Irreverent & Hilarious Antistress Sweary Adult Colouring Gift Featuring Mandalas & ... Mindful Meditation & Art Color Therapy),Honey Badger Adult Coloring Books and ,4.6,Paperback
b276,The Black Witch: An Epic Fantasy Novel (The Black Witch Chronicles),Laurie Forest,4.4,Hardcover
b277,Partners (Fire & Lies - Book One),Lilliana Anderson,4.8,Kindle Edition
b278,Black and Blue,D.R. Ryan,5,Kindle Edition
b279,The 10 Pillars of Wealth: Mind-Sets of the World's Richest People,Alex Becker,4.8,Paperback
b280,Secret Slave,Anna Ruston,4.3,Paperback
b281,The Bricklayer of Albany Park,Terry John Malik,4.9,Paperback
b282,Something Like Happy: A Novel,Eva Woods,4.5,Hardcover
b283,Angels: Who They Are What They Do and Why It Matters,Jack Graham and ,4.5,Paperback
b284,The Pizza Diet: How I Lost 100 Pounds Eating My Favorite Food -- and You Can Too!,Pasquale Cozzolino and ,4.5,Paperback
b285,Garden of the Gods,Stephen J. Stirling,4.9,Kindle Edition
b286,Soot Angel (with arson investigator Anja Toussaint),m.a. petterson,4.4,Kindle Edition
b287,Best. Night. Ever.: A Story Told from Seven Points of View (mix),Rachele Alpine and ,4.9,Hardcover
b288,Promise Me Dad: A Year of Hope Hardship and Purpose,Joe Biden,4.7,Hardcover
b289,The Ultimate Cigar Book: 4th Edition,Richard Carleton Hacker,4.7,Hardcover
b290,Pop-Up Peekaboo: Bedtime,DK,4.4,Board book
b291,Your Daily Homemade Bread: Easy Stand Mixer Bread Recipes: Best Basics (Volume 1),Mary Ellen Ward,4.5,Paperback
b292,Highbrow Lowbrow Brilliant Despicable: Fifty Years of New York Magazine,The Editors of New York Magazine,4.7,Hardcover
b293,The Tarleton Murders: Sherlock Holmes in America,Breck England,4.9,Kindle Edition
b294,Tessa's Garden: Four Season Collection,J.L. Starr,4.6,Kindle Edition
b295,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.5,Paperback
b296,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7,Paperback
b297,Enchanted Forest: An Inky Quest & Coloring Book,Johanna Basford,4.8,Paperback
b298,EllRay Jakes the Recess King!,Sally Warner and ,4.7,Paperback
b299,Women Who Move Mountains: Praying with Confidence Boldness and Grace,Sue Detweiler and ,4.7,Paperback
b300,The Complete Cooking for Two Cookbook: 650 Recipes for Everything You'll Ever Want to Make,America's Test Kitchen,4.7,Paperback
b301,Dark Illusion: A Psychological Thriller Novel,Dana V. Moison,4.3,Kindle Edition
b302,Cabal of The Westford Knight: Templars at the Newport Tower (Book #1 in the Templars in America Series),David S. Brody,4.2,Kindle Edition
b303,Adult coloring book : Good Vibes relaxation and Inspiration: Worry end when faith begin : Faith and Color Combine  to Banish Fear from Bible God ... and more (Adult Coloring Books) (Volume 23),Cherina Kohey,4.1,Paperback
b304,Conócete a ti mismo tal como realmente eres (Spanish Edition),Dalai Lama,5,Paperback
b305,A Dog's Purpose: A Novel for Humans,W. Bruce Cameron,4.8,Paperback
b306,The Range Bucket List: The Golf Adventure of a Lifetime,James Dodson,4.6,Hardcover
b307,The Best Seller,Dina Rae,4,Paperback
